operatorname,stop_id,pointgeo,stop_name,route_long_name,latitude,longitude,nom_commune,plans
RATP,IDFM:22118,"[ 48.881596830799253, 2.3702698675092511 ]",Jaurès,2,48.88159683079925,2.370269867509251,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463009,"[ 48.884320548869859, 2.3657743705581695 ]",Stalingrad,2,48.88432054886986,2.3657743705581695,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22123,"[ 48.882868568843925, 2.3441548403302916 ]",Anvers,2,48.882868568843925,2.3441548403302916,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22114,"[ 48.882269542226226, 2.338257976509587 ]",Pigalle,2,48.882269542226226,2.338257976509587,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463252,"[ 48.883745196779813, 2.3278987090661456 ]",Place de Clichy,2,48.88374519677981,2.3278987090661456,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463266,"[ 48.878227730862385, 2.2981132886172433 ]",Ternes,2,48.878227730862385,2.2981132886172433,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22116,"[ 48.866440166781686, 2.3835396687794899 ]",Ménilmontant,2,48.866440166781686,2.38353966877949,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22120,"[ 48.877695345805535, 2.3705761028196575 ]",Colonel Fabien,2,48.877695345805535,2.3705761028196575,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:462982,"[ 48.884476483409642, 2.3604303361621368 ]",La Chapelle,2,48.88447648340964,2.360430336162137,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463113,"[ 48.883766354477153, 2.3324843754343627 ]",Blanche,2,48.88376635447715,2.3324843754343627,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22117,"[ 48.880568770126835, 2.309412967374703 ]",Monceau,2,48.880568770126835,2.309412967374703,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463322,"[ 48.869926082410636, 2.2858287659129797 ]",Victor Hugo,2,48.869926082410636,2.2858287659129797,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463240,"[ 48.880568770126835, 2.309412967374703 ]",Monceau,2,48.880568770126835,2.309412967374703,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22110,"[ 48.882256139435015, 2.3214039779193896 ]",Rome,2,48.882256139435015,2.3214039779193896,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22115,"[ 48.883669088272661, 2.3279583280102196 ]",Place de Clichy,2,48.88366908827266,2.3279583280102196,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463088,"[ 48.882197374648179, 2.3382179854559224 ]",Pigalle,2,48.88219737464818,2.3382179854559224,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22127,"[ 48.883776089556882, 2.3506070793550977 ]",Barbès - Rochechouart,2,48.88377608955688,2.3506070793550977,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22119,"[ 48.884386410852784, 2.3604041692740987 ]",La Chapelle,2,48.884386410852784,2.3604041692740987,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
